"","Plot","Year","Subplot","HeatTrt","WaterTrt","RichnessTrt","Yo","S","Dq0","Dq1","Dq2","BP","p.Ag","biomass","invSimpEven","LegumeBiomass","ForbBiomass","C3Biomass","C4Biomass"
"1",29,2017,"NE","Control","Control",1,16.67,1,1,1,1,1,0,1,1,1,0,0,0
"2",29,2017,"NW","Heated","Drought",1,43.2,1,1,1,1,1,0,1,1,1,0,0,0
"3",29,2017,"SE","Control","Drought",1,6.13,1,1,1,1,1,0,1,1,1,0,0,0
"4",29,2017,"SW","Heated","Control",1,139.87,1,1,1,1,1,0,1,1,1,0,0,0
"5",69,2017,"NE","Control","Drought",1,35.73,1,1,1,1,1,0,1,1,0,1,0,0
"6",69,2017,"NW","Heated","Control",1,12.8,1,1,1,1,1,0,1,1,0,1,0,0
"7",69,2017,"SE","Control","Control",1,22.07,1,1,1,1,1,0,1,1,0,1,0,0
"8",69,2017,"SW","Heated","Drought",1,7.33,1,1,1,1,1,0,1,1,0,1,0,0
"9",82,2017,"NE","Control","Drought",16,198.29,7,7,5.11258559378542,4.31643198316395,0.379595541883101,0.379595541883101,1,0.616633140451993,0.155681073175652,0.00640476070401937,0.0457410862877604,0.792173079832569
"10",82,2017,"NW","Heated","Control",16,470.21,8,8,4.48855401325745,3.27277435393581,0.497373513961847,0.148167839901321,1,0.409096794241976,0.184896110248612,0.497373513961847,0.00963399332213266,0.308096382467408
"11",82,2017,"SE","Control","Control",16,278.93,9,9,5.39742408628093,3.87420207188442,0.447890151650952,0.144839206969491,1,0.430466896876046,0.186426702039939,0.451941347291435,0.0473237012870613,0.314308249381566
"12",82,2017,"SW","Heated","Drought",16,454.15,9,9,5.48491522957912,4.59856223894508,0.330441484091159,0.330441484091159,1,0.510951359882787,0.233711328856105,0.236926125729385,0.0239348232962678,0.505427722118243
"13",83,2017,"NE","Control","Control",1,48.6,1,1,1,1,1,0,1,1,1,0,0,0
"14",83,2017,"NW","Heated","Drought",1,53.8,1,1,1,1,1,0,1,1,1,0,0,0
"15",83,2017,"SE","Control","Drought",1,4.6,1,1,1,1,1,0,1,1,1,0,0,0
"16",83,2017,"SW","Heated","Control",1,23.8,1,1,1,1,1,0,1,1,1,0,0,0
"17",108,2017,"NE","Control","Drought",16,195.53,9,9,6.10704621047237,5.18693409400806,0.287781926047154,0.287781926047154,1,0.57632601044534,0.376054825346495,0.0743108474402905,0.014320053188769,0.535314274024446
