"","Date","MaxTemp.degF.","MinTemp.degF.","Precip.inches.","TempSource","PrecipSource"
"1","11/1/1962",47,23,0,"Cedar Weather Station","Cedar Weather Station"
"2","11/2/1962",40,35,0,"Cedar Weather Station","Cedar Weather Station"
"3","11/3/1962",46,24,0,"Cedar Weather Station","Cedar Weather Station"
"4","11/4/1962",38,28,0,"Cedar Weather Station","Cedar Weather Station"
"5","11/5/1962",37,16,0,"Cedar Weather Station","Cedar Weather Station"
"6","11/6/1962",50,27,0,"Cedar Weather Station","Cedar Weather Station"
"7","11/7/1962",45,32,0,"Cedar Weather Station","Cedar Weather Station"
"8","11/8/1962",39,27,0,"Cedar Weather Station","Cedar Weather Station"
"9","11/9/1962",47,23,0,"Cedar Weather Station","Cedar Weather Station"
"10","11/10/1962",48,19,0,"Cedar Weather Station","Cedar Weather Station"
"11","11/11/1962",46,34,0,"Cedar Weather Station","Cedar Weather Station"
"12","11/12/1962",47,28,0,"Cedar Weather Station","Cedar Weather Station"
"13","11/13/1962",38,18,0,"Cedar Weather Station","Cedar Weather Station"
"14","11/14/1962",49,32,0,"Cedar Weather Station","Cedar Weather Station"
"15","11/15/1962",42,32,0.02,"Cedar Weather Station","Cedar Weather Station"
"16","11/16/1962",37,32,0,"Cedar Weather Station","Cedar Weather Station"
"17","11/17/1962",35,29,0,"Cedar Weather Station","Cedar Weather Station"
"18","11/18/1962",35,26,0,"Cedar Weather Station","Cedar Weather Station"
"19","11/19/1962",35,25,0,"Cedar Weather Station","Cedar Weather Station"
"20","11/20/1962",59,32,0,"Cedar Weather Station","Cedar Weather Station"
"21","11/21/1962",48,26,0,"Cedar Weather Station","Cedar Weather Station"
"22","11/22/1962",36,18,0,"Cedar Weather Station","Cedar Weather Station"
"23","11/23/1962",38,22,0.3,"Cedar Weather Station","Cedar Weather Station"
"24","11/24/1962",43,20,0,"Cedar Weather Station","Cedar Weather Station"
"25","11/25/1962",43,22,0,"Cedar Weather Station","Cedar Weather Station"
"26","11/26/1962",50,33,0,"Cedar Weather Station","Cedar Weather Station"
"27","11/27/1962",51,39,0,"Cedar Weather Station","Cedar Weather Station"
